FileSystem,ProcessThread,Registry,Network,Profiling
CloseFile,Load Image,RegCloseKey,TCP Accept,Process Profiling
CreateFile,Process Create,RegCreateKey,TCP Connect,
CreateFileMapping,Process Exit,RegDeleteKey,TCP Disconnect,
DeviceIoControl,Process Start,RegDeleteValue,TCP Receive,
FileSystemControl,Thread Create,RegEnumKey,TCP Reconnect,
FlushBuffersFile,Thread Exit,RegEnumValue,TCP Retransmit,
LockFile,,RegLoadKey,TCP Send,
NotifyChangeDirectory,,RegOpenKey,TCP TCPCopy,
QueryAllInformationFile,,RegQueryKey,UDP Receive,
QueryAttributeInformationVolume,,RegQueryKeySecurity,UDP Send,
QueryAttributeTagFile,,RegQueryMultipleValueKey,,
QueryBasicInformationFile,,RegQueryValue,,
QueryDeviceRelations,,RegSetInfoKey,,
QueryDirectory,,RegSetKeySecurity,,
QueryEAFile,,RegSetValue,,
QueryFileInternalInformationFile,,,,
QueryFullSizeInformationVolume,,,,
QueryInformationVolume,,,,
QueryNameInformationFile,,,,
QueryNetworkOpenInformationFile,,,,
QueryNormalizedNameInformationFile,,,,
QueryObjectIdInformationVolume,,,,
QueryOpen,,,,
QueryPositionInformationFile,,,,
QueryRemoteProtocolInformation,,,,
QuerySecurityFile,,,,
QuerySizeInformationVolume,,,,
QueryStandardInformationFile,,,,
QueryStreamInformationFile,,,,
ReadFile,,,,
SetAllocationInformationFile,,,,
SetBasicInformationFile,,,,
SetDispositionInformationFile,,,,
SetEndOfFileInformationFile,,,,
SetPositionInformationFile,,,,
SetRenameInformationFile,,,,
SetSecurityFile,,,,
UnlockFileSingle,,,,
WriteFile,,,,